"pid","sid","Active","RPS","IR","Returns","Risk"
"9th Submission","34cf2f3f",0,0.16,7.83887720643266,0.109779330251392,0.0140044712221421
"10th Submission","34cf2f3f",0,0.16,-0.0172969537949137,-0.00014163688740651,0.00818854516730915
"11th Submission","34cf2f3f",0,0.16,0.570010171640681,0.00605104809538858,0.0106156844148441
"12th Submission","34cf2f3f",0,0.16,5.12181357186748,0.034201181895873,0.00667755306122999
"Global","34cf2f3f",NA,0.16,0.453469805791191,0.00531025898894036,0.0117102813045629
"1st Submission","39b9b3b1",1,0.1574477327162,3.84114772165302,0.0421322042497751,0.0109686498158534
"2nd Submission","39b9b3b1",1,0.1667738934742,-6.24037888840032,-0.0679753304438632,0.0108928210385136
"3rd Submission","39b9b3b1",0,0.1618711534742,1.4227209382632,0.0210560053766041,0.0147998140818173
"4th Submission","39b9b3b1",0,0.1635854534742,-4.02404258336709,-0.0624003277727133,0.0155068756057994
"5th Submission","39b9b3b1",0,0.1629452734742,0.643837510710139,0.00577980986582462,0.00897712508152812
"6th Submission","39b9b3b1",0,0.1609762734742,6.03219102172597,0.0506478614958885,0.0083962628692413
"7th Submission","39b9b3b1",0,0.1587390934742,-5.13753179286123,-0.062320597827426,0.012130454922736
"8th Submission","39b9b3b1",0,0.1605828734742,-4.92508863096143,-0.0755900844035558,0.0153479642840051
"9th Submission","39b9b3b1",0,0.1642770334742,8.03804368082799,0.112527368092781,0.0139993476722671
"10th Submission","39b9b3b1",0,0.1611718934742,-0.12177439000421,-0.00098935725867369,0.00812451007670402
"11th Submission","39b9b3b1",0,0.1617244734742,0.57356754748327,0.00616304214611149,0.010745102600651
"12th Submission","39b9b3b1",0,0.1611412734742,4.89254986956548,0.0332043491276773,0.00678671654104698
"Global","39b9b3b1",NA,0.161769701744367,0.189188785106393,0.00223494264842971,0.0118132935161715
"1st Submission","939398bd",1,0.1652,4.13512038252504,0.0418803493375277,0.0101279637503453
"2nd Submission","939398bd",0,0.1704,-6.06405651264572,-0.0589462069468766,0.00972058997536595
"3rd Submission","939398bd",0,0.1632,1.82683463059292,0.025965056735623,0.0142131402048119
"4th Submission","939398bd",0,0.1692,-4.51872860380607,-0.0668825890780865,0.0148011962970629
"5th Submission","939398bd",0,0.166,0.0599933936543494,0.000545712386105505,0.00909620797999219
"6th Submission","939398bd",0,0.162,5.69806919078921,0.0472159234278009,0.00828630222745002
"7th Submission","939398bd",0,0.1664,-4.95493074777177,-0.057258189719596,0.01155580019869
